Time (s),Negative log iodide concentration (M)
0,5.484521705
18.75135264,5.459632917
39.47329453,5.434857074
60.22940848,5.441040474
79.28375346,5.47206316
89.6925653,5.503262725
103.5185839,5.497008614
115.6428335,5.515792303
127.7465799,5.515792303
146.8214282,5.566196533
167.5843765,5.578869396
179.7291294,5.617061365
193.6029889,5.65551479
207.4563452,5.674840107
224.7815835,5.707195827
242.1273251,5.759349134
250.8138647,5.798776636
259.527742,5.86508986
263.0064585,5.885131311
268.2484537,5.938910622
276.962331,6.00682638
287.4189837,6.089351269
296.1396954,6.165994689
306.5621761,6.215269279
316.9778223,6.257817931
322.2403208,6.336581752
336.1893588,6.460262057
344.9374082,6.571394959
355.3735577,6.638990256
364.0874349,6.714911933
377.9954665,6.799428953
384.9597339,6.853765534
395.389049,6.916396386
409.2970806,7.003449383
414.5527446,7.083538915
426.7248351,7.164544329
445.8201866,7.254720633
454.5545671,7.362757048
466.7403265,7.463910413
482.7260198,10.069
494.4128669,9.59632031
504.4731237,9.145546409
518.0531034,9.065905271
526.5892859,8.902457578
538.638357,8.821842114
547.2565525,8.781808549
555.8405759,8.692396012
566.1810436,8.643116341
574.7787359,8.574593806
586.8688134,8.555115908
595.4596713,8.477645767
611.0011277,8.448775669
623.0980397,8.439174167
636.9172239,8.420003886
650.7159048,8.372268484
664.535089,8.353250184
681.8056521,8.324803707
702.5344284,8.296454103
714.5971683,8.240044194
719.716144,8.146878716
725.9833012,5.484521705
741.5110888,5.453428388
758.7748175,5.428680701
772.6350081,5.453428388
786.4883644,5.47206316
800.3553895,5.503262725
815.9378524,5.522067786
834.9580253,5.522067786
843.6377305,5.553552458
857.477418,5.559870901
874.7889875,5.578869396
890.3851192,5.610677928
905.9812509,5.642667821
923.3064893,5.674840107
935.4512422,5.713689075
949.3251017,5.752803996
963.21263,5.805374078
971.9196729,5.86508986
980.6198813,5.918686029
989.3474274,6
999.8040801,6.082431104
1010.253898,6.158987425
1017.218166,6.208206016
1024.216605,6.293497562
1034.639086,6.343791071
1052.032668,6.452920376
1060.794387,6.578871432
1071.223702,6.638990256
1086.874509,6.73785729
1093.872948,6.830425459
1107.767311,6.90068522
1121.675343,6.987540469
1132.159333,7.115830591
1144.345092,7.213591553
1168.66877,7.354389738
1163.413106,7.27123785
1186.055518,7.472402328
1196.853892,10.0690952
1210.269845,9.597453854
1220.323268,9.145546409
1232.160472,9.045311318
1240.730827,8.932877941
1252.773063,8.841927282
1268.273513,8.751902643
1278.586643,8.662794595
1297.552141,8.584349379
1311.343987,8.52598199
1328.594047,8.468011457
1347.580048,8.420003886
1368.315659,8.400877151
1385.565719,8.343757241
1406.28766,8.305893227
1423.551389,8.268201041
1437.322732,8.184017832
